Striped coloring (pre-computing COR Format),25,3d_27pt,128,64,64,13790200,SymGS,vanilla_version_RR Norm: 0.375064
15.3108
15.1356
15.1332
15.1336
15.1737
15.18
15.207
15.1925
15.1672
15.1756
