Striped coloring (COR Format already stored on the GPU),25,3d_27pt,256,128,128,111777784,SymGS,vanilla_version_RR Norm: 0.511717
28.9518
28.8425
28.9244
28.9652
28.9058
28.9107
28.8385
28.8694
28.8349
28.8772
