Striped coloring (pre-computing COR Format),25,3d_27pt,8,8,8,10648,CG_noPreconditioning,vanilla_version_RR Norm: 0.187864
1.89491
1.78736
1.78493
1.77651
1.87869
1.89965
1.89248
1.90653
1.88362
1.88925
