Striped coloring (storing nothing),25,3d_27pt,24,24,24,343000,SymGS,vanilla_version_RR Norm: 0.209858
4.89459
4.91222
4.91613
4.88003
4.90534
4.91584
4.8943
4.88733
4.90288
4.90608
