Striped coloring (pre-computing COR Format),25,3d_27pt,128,128,64,27725560,CG_noPreconditioning,vanilla_version_RR Norm: 0.418618
95.8068
95.9443
95.818
95.9817
95.89
95.9873
95.8875
95.9708
96.0383
95.9907
