Striped coloring (pre-computing COR Format),25,3d_27pt,64,64,64,6859000,CG,vanilla_version_RR Norm: 0.341176
2331.11
2331.9
2331.41
2331.85
2331.31
2330.71
2330.55
2331.92
2331.2
2331.5
