Striped Box coloring,25,3d_27pt,128,128,64,27725560,SymGS,vanilla_version_RR Norm: 0.417829
6.7591
6.68029
6.69786
6.68803
6.65763
6.70013
6.66285
6.64048
6.64483
6.65802
