Striped coloring (pre-computing COR Format),25,3d_27pt,8,8,8,10648,SymGS,vanilla_version_RR Norm: 0.187864
1.18989
1.17453
1.17453
1.17248
1.17248
1.17248
1.17146
1.17043
1.16634
1.17248
