Striped coloring (COR Format already stored on the GPU),25,3d_27pt,128,128,64,27725560,CG_noPreconditioning,vanilla_version_RR Norm: 0.418618
95.4617
95.6194
95.758
95.6955
95.8037
95.5755
95.5609
95.7865
95.7253
95.8565
