Striped coloring (pre-computing COR Format),25,3d_27pt,32,32,32,830584,CG_noPreconditioning,vanilla_version_RR Norm: 0.238672
10.9749
10.9703
10.9532
10.9765
10.9262
10.995
10.9425
10.979
10.9822
10.9995
