Striped coloring (storing nothing),25,3d_27pt,128,64,64,13790200,SymGS,vanilla_version_RR Norm: 0.375064
17.1153
17.0958
16.8864
16.9177
16.88
16.8774
16.9091
16.8758
16.8875
16.9045
