Striped coloring (pre-computing COR Format),25,3d_27pt,24,24,24,343000,MG,vanilla_version_RR Norm: 0.209858
15.5621
15.4051
15.3661
15.3887
15.3846
15.3651
15.3815
15.3641
15.4173
15.3928
