Striped coloring (COR Format already stored on the GPU),25,3d_27pt,128,128,128,55742968,CG_noPreconditioning,vanilla_version_RR Norm: 0.473484
169.211
169.188
169.119
169.427
169.148
169.25
169.231
169.151
169.393
169.077
