Striped coloring (COR Format already stored on the GPU),25,3d_27pt,32,32,32,830584,MG,vanilla_version_RR Norm: 0.238672
19.304
19.3372
19.3393
19.4048
19.4693
19.4253
19.4683
19.412
19.4427
19.4376
