Striped Box coloring,25,3d_27pt,24,24,24,343000,SymGS,vanilla_version_RR Norm: 0.152827
1.92352
1.91661
1.9193
1.91018
1.91325
1.91696
1.91971
1.90941
1.91062
1.90406
