Striped coloring (COR Format already stored on the GPU),25,3d_27pt,128,128,128,55742968,MG,vanilla_version_RR Norm: 0.473484
82.5958
83.0208
82.8733
82.9092
82.9737
82.8242
82.8139
82.8426
82.9635
83.1089
