Striped coloring (COR Format already stored on the GPU),25,3d_27pt,128,128,128,55742968,CG,vanilla_version_RR Norm: 0.473484
8704.8
8705.56
8705.12
8709.85
8707.59
8711.1
8707.58
8708.95
8705.51
8706.31
