Striped coloring (pre-computing COR Format),25,3d_27pt,256,128,128,111777784,CG,vanilla_version_RR Norm: 0.511717
19057.8
19055.4
19056.1
19054.4
19056.2
19055.7
19058.2
19056.5
19056.1
19054.7
