Striped coloring (pre-computing COR Format),25,3d_27pt,128,128,128,55742968,CG_noPreconditioning,vanilla_version_RR Norm: 0.473484
168.923
168.893
168.909
168.836
168.864
168.823
168.841
168.825
168.932
169.077
