Striped coloring (storing nothing),25,3d_27pt,128,128,64,27725560,MG,vanilla_version_RR Norm: 0.418618
78.4092
78.4036
78.6278
78.4026
78.4497
78.4763
78.4845
78.2735
78.4425
78.4415
