Striped coloring (storing nothing),25,3d_27pt,32,32,32,830584,SymGS,vanilla_version_RR Norm: 0.238672
6.7673
6.76691
6.77162
6.78275
6.78355
6.79178
6.76314
6.75875
6.7671
6.77235
