Striped coloring (pre-computing COR Format),25,3d_27pt,16,16,16,97336,SymGS,vanilla_version_RR Norm: 0.186879
2.8713
2.84365
2.85286
2.84262
2.8672
2.84979
2.85082
2.84058
2.8416
2.86106
