Striped coloring (storing nothing),25,3d_27pt,128,128,64,27725560,CG,vanilla_version_RR Norm: 0.418618
6705.73
6705.83
6704.15
6705.03
6707.37
6708.8
6708.11
6709.3
6708.73
6708.26
