Striped coloring (COR Format already stored on the GPU),25,3d_27pt,64,64,64,6859000,SymGS,vanilla_version_RR Norm: 0.341176
11.0376
10.908
10.9247
10.9204
10.93
10.9396
10.9595
10.9243
10.9061
10.9406
