Striped coloring (COR Format already stored on the GPU),25,3d_27pt,24,24,24,343000,CG_noPreconditioning,vanilla_version_RR Norm: 0.209858
6.1719
6.17834
6.19843
6.21203
6.18278
6.19933
6.20557
6.17725
6.17984
6.20909
