Striped coloring (pre-computing COR Format),25,3d_27pt,64,64,64,6859000,SymGS,vanilla_version_RR Norm: 0.341176
12.4124
12.3265
12.3697
12.2948
12.3068
12.3749
12.304
12.3738
12.317
12.3272
