Striped coloring (storing nothing),25,3d_27pt,128,64,64,13790200,CG_noPreconditioning,vanilla_version_RR Norm: 0.375064
56.8128
57.1589
56.9048
56.7753
56.8502
56.817
56.8553
56.8766
56.7567
56.8019
