Striped coloring (COR Format already stored on the GPU),25,3d_27pt,64,64,64,6859000,CG,vanilla_version_RR Norm: 0.341176
2137.22
2136.93
2138.98
2138.15
2138.77
2139.07
2138.59
2138.63
2139.02
2138.4
