Striped coloring (COR Format already stored on the GPU),25,3d_27pt,64,64,64,6859000,MG,vanilla_version_RR Norm: 0.341176
38.588
38.4788
38.5638
38.7072
38.5423
38.5659
38.6028
38.5198
38.57
38.529
