Striped coloring (storing nothing),25,3d_27pt,24,24,24,343000,CG_noPreconditioning,vanilla_version_RR Norm: 0.209858
5.83651
5.8224
5.83798
5.81862
5.80989
5.84931
5.80877
5.81523
5.81712
5.80371
