Striped Box coloring,25,3d_27pt,64,64,64,6859000,SymGS,vanilla_version_RR Norm: 0.335813
2.71309
2.72317
2.70134
2.72064
2.71318
2.71888
2.7153
2.71411
2.70134
2.72493
