Striped coloring (COR Format already stored on the GPU),25,3d_27pt,24,24,24,343000,MG,vanilla_version_RR Norm: 0.209858
14.9341
14.7016
14.6463
14.7026
14.7302
14.721
14.6801
14.677
14.7026
14.6934
