Striped coloring (storing nothing),25,3d_27pt,64,64,64,6859000,CG,vanilla_version_RR Norm: 0.341176
2867.85
2866.28
2866.87
2867.02
2867.6
2866.38
2866.72
2866.98
2867.24
2866.76
