Striped coloring (storing nothing),25,3d_27pt,64,64,64,6859000,MG,vanilla_version_RR Norm: 0.341176
51.9785
51.71
51.6823
51.626
51.6219
51.7642
51.756
51.7007
51.7069
51.6946
