Striped coloring (storing nothing),25,3d_27pt,128,128,128,55742968,CG_noPreconditioning,vanilla_version_RR Norm: 0.473484
169.038
169.178
169.01
168.872
168.892
168.842
168.966
169.027
169.008
168.948
