Striped coloring (pre-computing COR Format),25,3d_27pt,128,128,64,27725560,CG,vanilla_version_RR Norm: 0.418618
6086.37
6085.8
6086.69
6085.94
6085.41
6085.78
6087.57
6087.29
6087.79
6087.97
