Striped coloring (storing nothing),25,3d_27pt,8,8,8,10648,CG_noPreconditioning,vanilla_version_RR Norm: 0.187864
1.87184
1.77709
1.77818
1.77318
1.84198
1.91094
1.88461
1.8903
1.8792
1.88112
