Striped coloring (COR Format already stored on the GPU),25,3d_27pt,128,128,64,27725560,CG,vanilla_version_RR Norm: 0.418618
4935.93
4938.71
4935.49
4933.87
4936.39
4936.46
4937.44
4937.72
4937.61
4935.48
