Striped coloring (COR Format already stored on the GPU),25,3d_27pt,128,64,64,13790200,SymGS,vanilla_version_RR Norm: 0.375064
12.7889
12.693
12.6787
12.6866
12.6743
12.702
12.6548
12.6969
12.6996
12.679
