Banded Preprocessed (x=2),41-44,3d_27pt,16,16,16,97336,SymGS,SymGS cooperation number = 16
9.31226
9.29485
9.29587
9.29587
9.29485
9.29587
9.2969
9.2969
9.29792
9.29587
