Banded Preprocessed (x=2),41-44,3d_27pt,32,32,32,830584,SymGS,SymGS cooperation number = 16
82.5723
82.5986
82.6241
82.57
82.5468
82.5336
82.5506
82.6411
82.6189
82.5603
