Banded Preprocessed (x=2),41-44,3d_27pt,128,128,64,27725560,SymGS,SymGS cooperation number = 16
2768.29
2743.29
2743.12
2743.09
2743.33
2743.48
2743.3
2743.11
2743.23
2743.17
