Banded Preprocessed (x=2),41-44,3d_27pt,8,8,8,10648,SymGS,SymGS cooperation number = 16
1.21856
1.18989
1.19091
1.18886
1.18886
1.18989
1.18989
1.18989
1.18886
1.18989
