Banded Preprocessed (x=2),41-44,3d_27pt,128,128,128,55742968,SymGS,SymGS cooperation number = 16
5503.7
5487.5
5487.48
5487.58
5486.97
5487.59
5487.04
5487.16
5487.27
5487.1
