Banded Preprocessed (x=2),41-44,3d_27pt,128,64,64,13790200,SymGS,SymGS cooperation number = 16
1383.31
1371.57
1371.51
1371.47
1371.51
1371.56
1371.59
1371.56
1371.55
1373.26
