Striped coloring (pre-computing COR Format),GH200,3d_27pt,32,32,32,830584,CG_noPreconditioning,vanilla_version_normi/norm0: 0.238672
7.5672
7.5248
7.50752
7.53379
7.53274
7.55034
7.51053
7.51469
7.52432
7.49846
7.50694
7.51312
7.49942
7.50093
7.52944
7.50938
7.51677
7.52358
7.50221
7.50166
7.50557
7.5231
7.51882
7.50573
7.4993
