Striped Warp Reduction,GH200,3d_27pt,672,672,672,8169178744,WAXPBY,vanilla_version
2.01597
1.97882
1.98
1.9799
1.97936
1.97862
1.97811
1.98042
1.97984
1.97741
1.97946
1.97872
1.97942
1.9801
1.97859
1.98006
1.97987
1.97923
1.97856
1.97872
1.97674
1.97837
1.97718
1.97802
1.97952
