Striped coloring (pre-computing COR Format),GH200,3d_27pt,256,256,256,449455096,CG,vanilla_version_normi/norm0: 0.616027
43798.6
43768.4
43813.4
43753.7
43764.5
43777.9
43786.6
43769.4
43793.7
43785.1
43784.3
43786.8
43633.2
43622.8
43615.6
43648.5
43639.8
43642.9
43654.9
43626.4
43663.2
43639.3
43640.4
43626.2
43634.1
