Striped coloring (pre-computing COR Format),GH200,3d_27pt,128,128,128,55742968,CG,vanilla_version_normi/norm0: 0.473484
8468.72
8453.18
8453.37
8467.68
8467.29
8458.89
8461.93
8444.69
8467.43
8451.45
8466.27
8455.18
8453.24
8449.92
8452.07
8454.65
8466.54
8473.2
8472.1
8476.52
8453.11
8456.82
8465.59
8443.46
8449.58
