Striped coloring (pre-computing COR Format),GH200,3d_27pt,32,32,32,830584,MG,vanilla_version_normi/norm0: 0.238672
13.9891
13.9176
13.934
13.9021
13.9283
13.9241
13.9248
13.9268
13.8678
13.9177
13.9067
13.9231
13.9278
13.9325
13.8612
13.9112
13.8974
13.8925
13.9038
13.9141
13.8727
13.9139
13.9259
13.8862
13.8632
