Striped coloring (pre-computing COR Format),GH200,3d_27pt,512,512,512,3609741304,CG_noPreconditioning,vanilla_version_normi/norm0: 0.746814
9169.87
9169.53
9178.44
9169.9
9180.67
9174.31
9188.3
9181.17
9185.18
9174.85
9184.61
9178.06
9184.49
9176.97
9184.09
9181.4
9189.39
9181.49
9185.1
9176.48
9185.27
9176.32
9183.88
9184.39
9186.32
