Striped coloring (pre-computing COR Format),GH200,3d_27pt,128,128,128,55742968,CG_noPreconditioning,vanilla_version_normi/norm0: 0.473484
90.4829
90.311
90.2926
90.3475
90.3791
90.3215
90.3238
90.2997
90.305
90.4575
90.3686
90.4059
90.3747
90.2995
90.4226
90.3592
90.6064
90.3761
90.4348
90.4965
90.4921
89.8621
89.8347
90.3916
90.3557
