Striped coloring (pre-computing COR Format),GH200,3d_27pt,64,64,64,6859000,CG,vanilla_version_normi/norm0: 0.341176
1791.92
1803.93
1804.9
1793.94
1787.95
1789.68
1788.1
1800.02
1792.42
1795.61
1790.12
1788.41
1804.3
1793
1788.73
1790.42
1795.58
1788.95
1800.52
1793.76
1789.86
1788.12
1791.94
1791.15
1801.49
