Striped coloring (pre-computing COR Format),GH200,3d_27pt,256,256,256,449455096,MG,vanilla_version_normi/norm0: 0.616027
230.627
229.384
228.919
229.269
228.873
228.946
229.025
228.932
229.182
229.053
228.881
229.062
229.141
229.007
228.958
229.005
228.955
229.118
229.062
229.066
228.787
228.923
228.807
229.025
229.102
