Striped coloring (pre-computing COR Format),GH200,3d_27pt,128,128,128,55742968,MG,vanilla_version_normi/norm0: 0.473484
81.1336
80.6178
80.8458
80.8154
80.6655
80.7367
80.8949
80.8438
80.6137
80.6973
80.7956
80.6629
80.8558
80.6544
80.8564
80.65
80.6844
80.8415
80.7764
80.6433
80.818
85.8506
80.7957
80.77
81.6443
