Striped coloring (pre-computing COR Format),GH200,3d_27pt,256,256,256,449455096,CG_noPreconditioning,vanilla_version_normi/norm0: 0.616027
1089.38
1087.49
1084.55
1084.87
1085.02
1085.38
1085.99
1085.53
1086.11
1086.26
1089.25
1086.59
1086.72
1085.92
1086.86
1086.48
1086.88
1086.52
1086.85
1086.9
1086.8
1086.79
1086.81
1091.07
1086.99
