Striped coloring (pre-computing COR Format),GH200,3d_27pt,64,64,64,6859000,CG_noPreconditioning,vanilla_version_normi/norm0: 0.341176
18.5205
18.5398
18.4762
18.484
18.4983
18.4771
18.5137
18.4836
18.4434
18.4611
18.4812
18.4525
18.5148
18.4377
22.0687
18.4447
18.5157
18.4756
18.5032
18.4536
18.4847
18.5084
18.4469
18.4889
18.4727
