Striped coloring (pre-computing COR Format),GH200,3d_27pt,512,512,512,3609741304,CG,vanilla_version_normi/norm0: 0.746814
326455
326339
326585
326329
326690
326334
326437
326378
326600
326712
326895
326450
326387
326325
326830
326460
326766
326548
326905
326477
326801
326707
326884
326546
326948
