Striped coloring (pre-computing COR Format),GH200,3d_27pt,512,512,512,3609741304,MG,vanilla_version_normi/norm0: 0.746814
877.885
875.599
873.419
872.253
872.201
872.313
871.452
871.797
871.577
871.103
871.772
871.944
871.514
872.01
871.715
871.453
872.485
874.943
875.016
873.613
872.436
872.018
871.89
871.909
872.104
