Striped coloring (pre-computing COR Format),GH200,3d_27pt,64,64,64,6859000,MG,vanilla_version_normi/norm0: 0.341176
32.6733
32.4215
32.348
32.2185
41.3612
32.3005
32.3012
32.317
32.2308
32.3015
32.1448
32.1884
32.2462
32.1877
32.2869
32.305
32.272
32.3012
32.1984
32.3558
32.131
32.2519
32.2366
32.2511
32.1873
