Striped coloring (pre-computing COR Format),GH200,3d_27pt,32,32,32,830584,CG,vanilla_version_normi/norm0: 0.238672
418.551
418.627
419.546
418.338
418.018
418.193
418.8
419.771
418.166
428.853
426.282
419.289
421.138
416.643
431.234
425.595
419.501
417.448
419.355
417.787
420.162
417.855
417.924
417.841
417.934
