Striped coloring (pre-computing COR Format),GH200,3d_27pt,128,128,128,55742968,CG_noPreconditioning,vanilla_version
90.696
90.4438
90.4733
90.7651
90.784
90.6787
90.9246
90.6879
90.7544
90.7077
