Striped coloring (storing nothing),41-44,3d_27pt,24,24,24,343000,SymGS,vanilla_version_RR Norm: 0.497158
3.60445
3.58112
3.57936
3.57219
3.56608
3.56566
3.57056
3.58246
3.59466
3.5696
