Striped coloring (storing nothing),41-44,3d_27pt,32,32,32,830584,SymGS,vanilla_version_RR Norm: 0.546743
5.11366
5.03117
5.02874
5.02176
5.02816
5.04822
5.05939
5.04688
5.02976
5.02442
